customer_id,crm_account_no,sap_customer_code,customer_name,outlet_type,channel,region,state,city,territory,route_code,sales_rep_id,assigned_sales_rep,distributor_id,phone,email,address,gps_lat,gps_lng,account_status,customer_grade,credit_limit,payment_terms,date_created,last_visit_date,last_order_date,cooler_asset_tag,tin_no
CUST00001,CRM-10001,BP500001,Green Prime Trading,Mini-Mart,General Trade,North West Region,Kano,Fagge,Fagge Route 1,KAN-04-01,SR0069,Khalid Nwosu,DIST048,09030351653,green.prime.trading@gmail.com,"65 Market Road, Fagge",8.821179,6.993185,Active,B,1000000,7 Days,2025-08-20,2026-06-12,2026-05-02,COOL-6447,33686941-1790
CUST00002,CRM-10002,BP500002,Beta Prime Retail,Mini-Mart,General Trade,North Central Region,FCT,Wuse,Wuse Route 2,FCT-01-02,SR0026,Chinedu Udo,DIST056,09133840628,beta.prime.retail@gmail.com,"103 Hospital Road, Wuse",11.562651,9.322507,Active,D,500000,Cash,2024-11-10,2026-02-01,2026-05-24,,
CUST00003,CRM-10003,BP500003,Swift Shop,Provision Store,General Trade,North West Region,Kano,Tarauni,Tarauni Route 1,KAN-03-01,SR0067,Omotola Onyeka,DIST046,09036853063,,"158 Express Road, Tarauni",8.400232,13.654199,Active,D,0,Cash,2025-06-28,2026-04-25,2026-05-19,,
CUST00004,CRM-10004,BP500004,Royal Express Kitchen,Provision Store,General Trade,South East Region,Anambra,Onitsha,Onitsha Route 1,ANA-01-01,SR0087,Mary Musa,DIST068,09060073356,,"94 Express Road, Onitsha",5.328771,8.534435,Inactive,D,100000,Cash,2025-01-31,2025-02-09,2026-03-22,COOL-9482,
CUST00005,CRM-10005,BP500005,Green Global Outlet,Kiosk,General Trade,North West Region,Kaduna,Kaduna,Kaduna Route 2,KAD-01-02,SR0072,Hassan Akinola,DIST071,07032941848,,"139 Station Road, Kaduna",11.545792,12.714943,Pending Verification,C,50000,30 Days,2024-10-16,2025-06-27,,,
CUST00006,CRM-10006,BP500006,Market Global Trading,Mini-Mart,General Trade,North West Region,Kano,Sabon Gari,Sabon Gari Route 2,KAN-02-02,SR0066,Ebere Usman,DIST074,09060538560,market.global.trading@outlook.com,"19 Airport Road, Sabon Gari",11.959137,11.189072,Active,C,1000000,7 Days,2025-09-07,2026-04-16,2026-05-28,,
CUST00007,CRM-10007,BP500007,Diamond One Trading,Hotel,HORECA,North West Region,Abuja,Kaduna,Kaduna Route 1,KAD-01-01,SR0071,Kingsley Adebayo,DIST026,09139011137,diamond.one.trading@outlook.com,"163 Palm Road, Kaduna",8.3997,11.062663,Inactive,C,250000,Cash,2025-11-28,2025-02-10,2026-05-09,,
CUST00008,CRM-10008,BP500008,Quality Fast Food,Kiosk,General Trade,North West Region,Kaduna,Kawo,Kawo Route 1,KAD-03-01,SR0075,Sadiq Obi,DIST052,08030972256,quality.fast.food@gmail.com,"77 Hospital Road, Kawo",7.372162,6.937365,Active,C,150000,Cash,2024-08-16,2026-05-04,2026-05-26,COOL-3353,77891353-4220
CUST00009,CRM-10009,BP500009,Grace Prime Foods,Fuel Station Chain,Key Account,South West Region,Oyo,Ibadan,Ibadan Route 2,OYO-01-02,SR0038,John Oyedepo,DIST075,07037119484,grace.prime.foods@gmail.com,"91 Market Road, Ibadan",7.257756,5.375492,Inactive,D,150000,7 Days,2025-11-01,2025-05-04,2026-04-30,,
CUST00010,CRM-10010,BP500010,Swift One Beverage,Kiosk,General Trade,South South Region,Rivers,Port Harcourt,Port Harcourt Route 2,RIV-01-02,SR0014,Uche Oyedepo,DIST048,08180053234,swift.one.beverage@outlook.com,"204 Creek Road, Port Harcourt",5.815664,4.754911,Active,B,1000000,7 Days,2023-09-01,2026-01-25,2026-02-02,,07851819-3368
CUST00011,CRM-10011,BP500011,Green Prime Fast Food,Open Market Retailer,General Trade,North West Region,Kaduna,Kawo,Kawo Route 2,KAD-03-02,SR0076,Paul Nnamdi,DIST007,09068369577,green.prime.fast.food@gmail.com,"150 Hospital Road, Kawo",7.869612,11.091884,Active,C,150000,30 Days,2024-06-27,2026-05-28,2026-05-09,COOL-4968,91031647-9870
CUST00012,CRM-10012,BP500012,Choice Plus Enterprises,Shopping Mall,Modern Trade,South South Region,Rivers,Trans-Amadi,Trans-Amadi Route 2,RIV-03-02,SR0018,Joy Oyedepo,DIST029,09033193377,choice.plus.enterprises@outlook.com,"77 Station Road, Trans-Amadi",6.109802,6.313152,Active,C,250000,Cash,2024-01-29,2026-03-13,2026-05-18,,
CUST00013,CRM-10013,BP500013,Blessed One Bar,Provision Store,General Trade,South East Region,Anambra,Ekwulobia,Ekwulobia Route 1,ANA-04-01,SR0093,Ngozi Hassan,DIST072,09038982273,,"179 Station Road, Ekwulobia",4.974546,10.994442,Active,C,250000,Cash,2025-09-08,2026-02-21,2026-05-22,,
