file,field,description
01_crm_customers.csv,customer_id,CRM customer key. Some duplicates and duplicate-like records are intentional.
01_crm_customers.csv,crm_account_no,CRM account reference.
01_crm_customers.csv,sap_customer_code,ERP/SAP customer business partner code.
01_crm_customers.csv,customer_name,Outlet/customer name. Contains inconsistent casing/spelling for cleaning practice.
01_crm_customers.csv,channel,"General Trade, Modern Trade, HORECA, Distributor, Key Account."
01_crm_customers.csv,route_code,Route assigned to customer. Some invalid/missing values are intentional.
01_crm_customers.csv,sales_rep_id,Assigned sales rep. Should match route master when clean.
05_sap_sales_orders_header.csv,order_id,SAP sales order number/header key.
05_sap_sales_orders_header.csv,customer_id,Customer from CRM. Some IDs intentionally do not exist in CRM.
05_sap_sales_orders_header.csv,order_status,"Completed, Open, Partially Delivered, Cancelled, Blocked."
05_sap_sales_orders_header.csv,gross_value/discount_value/net_order_value,Header financials. Some mismatches vs line totals are intentional.
06_sap_sales_order_lines.csv,product_code,SKU code. Some invalid product codes are intentional.
06_sap_sales_order_lines.csv,ordered_cases/confirmed_cases,Cases ordered and confirmed. Used for fill-rate analysis.
07_sap_delivery_invoice.csv,delivered_cases,Delivered quantity. Some delivered quantity issues are intentional.
07_sap_delivery_invoice.csv,invoice_value,Invoice value. Use to compare against net order/delivered cases.
09_sales_targets.csv,target_cases/target_value,Monthly target by rep and beverage category.
